section_name,zone,price,listingId,ticketClass,img
212,200 Level,"INR8,130",8664079452,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73882.jpg?im=Resize=(500,271)"
221,200 Level,"INR8,168",8605463995,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73987.jpg?im=Resize=(500,271)"
213,200 Level,"INR8,246",8656804978,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73777.jpg?im=Resize=(500,271)"
222,200 Level,"INR8,255",8642079035,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73880.jpg?im=Resize=(500,271)"
227,200 Level,"INR8,261",8022220180,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73835.jpg?im=Resize=(500,271)"
227,200 Level,"INR8,261",8022220196,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73835.jpg?im=Resize=(500,271)"
227,200 Level,"INR8,261",8652931486,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73835.jpg?im=Resize=(500,271)"
208,200 Level,"INR8,290",8664346711,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73909.jpg?im=Resize=(500,271)"
222,200 Level,"INR8,290",8664346643,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73880.jpg?im=Resize=(500,271)"
212,200 Level,"INR8,290",8664346704,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73882.jpg?im=Resize=(500,271)"
213,200 Level,"INR8,323",8664219161,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73777.jpg?im=Resize=(500,271)"
415,400 Level,"INR8,339",8609629023,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73931.jpg?im=Resize=(500,271)"
226,200 Level,"INR8,341",8477368879,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73919.jpg?im=Resize=(500,271)"
224,200 Level,"INR8,392",8654828621,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73924.jpg?im=Resize=(500,271)"
,200 Level,"INR8,685",-8084349395,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73882.jpg?im=Resize=(500,271)"
217,200 Level,"INR8,392",8661031883,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73921.jpg?im=Resize=(500,271)"
212,200 Level,"INR8,416",8642074791,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73882.jpg?im=Resize=(500,271)"
226,200 Level,"INR8,418",8661591120,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73919.jpg?im=Resize=(500,271)"
226,200 Level,"INR8,422",8449989005,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73919.jpg?im=Resize=(500,271)"
412WC,400 Level,"INR8,427",8661129454,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73958.jpg?im=Resize=(500,271)"
213,200 Level,"INR8,471",8361260238,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73777.jpg?im=Resize=(500,271)"
222,200 Level,"INR8,473",8477664319,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73880.jpg?im=Resize=(500,271)"
419,400 Level,"INR8,489",8660433427,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73984.jpg?im=Resize=(500,271)"
421WC,400 Level,"INR8,500",8663587004,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73803.jpg?im=Resize=(500,271)"
418,400 Level,"INR8,513",8663882331,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73810.jpg?im=Resize=(500,271)"
418,400 Level,"INR8,532",8664079638,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73810.jpg?im=Resize=(500,271)"
414,400 Level,"INR8,579",8534279268,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73829.jpg?im=Resize=(500,271)"
414,400 Level,"INR8,579",8660778259,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73829.jpg?im=Resize=(500,271)"
212,200 Level,"INR8,583",8617495408,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73882.jpg?im=Resize=(500,271)"
419,400 Level,"INR8,608",8605463602,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73984.jpg?im=Resize=(500,271)"
226,200 Level,"INR8,612",8660959960,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73919.jpg?im=Resize=(500,271)"
211,200 Level,"INR8,612",8663300247,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73782.jpg?im=Resize=(500,271)"
218,200 Level,"INR8,630",8659745370,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73957.jpg?im=Resize=(500,271)"
226,200 Level,"INR8,689",8645420866,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73919.jpg?im=Resize=(500,271)"
211,200 Level,"INR8,693",8664079720,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73782.jpg?im=Resize=(500,271)"
211,200 Level,"INR8,716",8620411759,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73782.jpg?im=Resize=(500,271)"
223,200 Level,"INR8,731",8663165154,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73928.jpg?im=Resize=(500,271)"
212,200 Level,"INR8,731",8663215141,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73882.jpg?im=Resize=(500,271)"
225,200 Level,"INR8,758",8652005591,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73843.jpg?im=Resize=(500,271)"
226,200 Level,"INR8,758",8657434474,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73919.jpg?im=Resize=(500,271)"
214,200 Level,"INR8,758",8663170050,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73791.jpg?im=Resize=(500,271)"
211,200 Level,"INR8,758",8506513051,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73782.jpg?im=Resize=(500,271)"
212,200 Level,"INR8,824",8659896335,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73882.jpg?im=Resize=(500,271)"
414,400 Level,"INR8,824",8663268597,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73829.jpg?im=Resize=(500,271)"
414,400 Level,"INR8,824",8663268599,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73829.jpg?im=Resize=(500,271)"
223,200 Level,"INR8,839",8660236343,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73928.jpg?im=Resize=(500,271)"
212,200 Level,"INR8,839",8660795598,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73882.jpg?im=Resize=(500,271)"
214,200 Level,"INR8,854",8664311118,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73791.jpg?im=Resize=(500,271)"
214,200 Level,"INR8,874",7892305343,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73791.jpg?im=Resize=(500,271)"
209,200 Level,"INR8,888",8658953264,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73953.jpg?im=Resize=(500,271)"
